trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.7, 'e': 0.6556592205741436}",20,0,-11.794050824129807,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
43,False,"{'a': 0.7, 'e': 0.6491026283684022}",30,0,-58.43980124962234,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.6426116020847181}",30,2,-8.018469613915565,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 0}",1
45,False,"{'a': 0.7, 'e': 0.6361854860638709}",20,8,-41.8475131935753,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.7, 'e': 0.6298236312032323}",20,2,-67.47081382715868,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
47,False,"{'a': 0.7, 'e': 0.6235253948912}",20,0,-36.58912682822809,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
48,False,"{'a': 0.7, 'e': 0.617290140942288}",25,1,-25.334222835953245,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
49,False,"{'a': 0.7, 'e': 0.611117239532865}",25,0,-25.686246653232182,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
50,False,"{'a': 0.7, 'e': 0.6050060671375364}",25,1,-81.6018492290536,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 1}",1
51,False,"{'a': 0.7, 'e': 0.598956006466161}",20,0,-97.17064158983995,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
52,False,"{'a': 0.7, 'e': 0.5929664464014994}",20,0,-23.141586672057382,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
53,False,"{'a': 0.7, 'e': 0.5870367819374844}",20,0,-86.93197847061514,"{0: 10, 1: 6, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.7, 'e': 0.5811664141181095}",25,0,-115.75637121829992,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.7, 'e': 0.5753547499769285}",20,10,-45.98815210130035,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.7, 'e': 0.5696012024771592}",30,0,-29.375823080128505,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
57,False,"{'a': 0.7, 'e': 0.5639051904523875}",20,0,-31.036207615964663,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.7, 'e': 0.5582661385478637}",25,0,-40.70765223691289,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
59,False,"{'a': 0.7, 'e': 0.5526834771623851}",25,0,-56.08161712518151,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
60,False,"{'a': 0.7, 'e': 0.5471566423907612}",25,0,-163.34233939733485,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
61,False,"{'a': 0.7, 'e': 0.5416850759668536}",20,0,-69.49240526261511,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
62,False,"{'a': 0.7, 'e': 0.536268225207185}",25,0,-86.85724540000372,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
63,False,"{'a': 0.7, 'e': 0.5309055429551132}",20,2,-15.178880044825302,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.7, 'e': 0.525596487525562}",20,0,-4.542629397543501,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
65,False,"{'a': 0.7, 'e': 0.5203405226503064}",25,12,10.981311987880627,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.7, 'e': 0.5151371174238033}",20,0,-55.63177762742819,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.7, 'e': 0.5099857462495653}",25,0,-70.39321012419103,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
